"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"대구광역시 북구 고성동(2723051000)","14,216","14,216","2,013","1,166","1,183","3,702","2,578","1,537","1,049","660","277","51","0","7,005","7,005","1,001","589","550","1,846","1,370","790","475","275","96","13","0","7,211","7,211","1,012","577","633","1,856","1,208","747","574","385","181","38","0"
"대구광역시 북구 칠성동(2723052600)","22,912","22,912","1,508","2,239","2,581","3,484","3,769","3,570","2,856","1,796","950","155","4","10,906","10,906","754","1,081","1,227","1,771","1,851","1,721","1,340","783","337","41","0","12,006","12,006","754","1,158","1,354","1,713","1,918","1,849","1,516","1,013","613","114","4"
"대구광역시 북구 침산1동(2723055000)","3,519","3,519","101","154","273","329","363","616","905","540","200","36","2","1,871","1,871","54","87","161","192","214","343","477","262","74","7","0","1,648","1,648","47","67","112","137","149","273","428","278","126","29","2"
"대구광역시 북구 침산2동(2723056000)","17,984","17,984","1,458","2,290","1,762","2,365","3,135","3,029","2,069","1,198","593","82","3","8,587","8,587","725","1,139","880","1,181","1,497","1,434","980","498","227","25","1","9,397","9,397","733","1,151","882","1,184","1,638","1,595","1,089","700","366","57","2"
"대구광역시 북구 침산3동(2723057000)","17,941","17,941","1,066","1,894","1,797","1,749","2,665","3,360","2,777","1,648","867","116","2","8,498","8,498","561","941","943","876","1,236","1,596","1,296","704","317","27","1","9,443","9,443","505","953","854","873","1,429","1,764","1,481","944","550","89","1"
"대구광역시 북구 산격1동(2723061000)","7,589","7,589","93","307","505","569","673","1,347","1,868","1,398","738","91","0","3,707","3,707","52","154","287","349","382","717","945","547","254","20","0","3,882","3,882","41","153","218","220","291","630","923","851","484","71","0"
"대구광역시 북구 산격2동(2723062000)","9,558","9,558","310","699","1,057","993","1,068","1,792","1,987","1,082","511","56","3","4,656","4,656","160","357","584","558","529","846","949","477","181","14","1","4,902","4,902","150","342","473","435","539","946","1,038","605","330","42","2"
"대구광역시 북구 산격3동(2723063000)","8,189","8,189","134","352","2,511","941","737","1,006","1,192","860","400","55","1","4,292","4,292","69","165","1,318","627","447","577","560","370","146","13","0","3,897","3,897","65","187","1,193","314","290","429","632","490","254","42","1"
"대구광역시 북구 산격4동(2723063100)","7,111","7,111","143","362","800","812","758","1,210","1,496","1,011","460","59","0","3,732","3,732","81","203","461","530","458","637","711","450","183","18","0","3,379","3,379","62","159","339","282","300","573","785","561","277","41","0"
"대구광역시 북구 대현동(2723064500)","15,617","15,617","503","1,011","2,656","1,494","1,889","2,506","2,598","1,803","1,007","149","1","7,880","7,880","258","501","1,634","873","973","1,291","1,198","749","366","37","0","7,737","7,737","245","510","1,022","621","916","1,215","1,400","1,054","641","112","1"
